"","p_d_node","p_state","d_state","change","p_pp","d_pp","dpp>ppp"
"217","1208_103",1,1,0,1,1,0
"218","1208_104",1,1,0,1,1,0
"219","1206_1209",1,1,0,1,1,0
"220","1209_1210",1,1,0,1,1,0
"221","1210_105",1,1,0,1,1,0
"222","1210_1211",1,1,0,1,0.998,0
"223","1211_106",1,0,1,0.998,1,1
"224","1211_1212",1,1,0,0.998,1,1
"225","1212_107",1,1,0,1,1,0
"226","1212_1213",1,1,0,1,1,0
"227","1213_108",1,1,0,1,1,0
"228","1213_109",1,1,0,1,1,0
"229","1209_1214",1,1,0,1,1,0
"230","1214_110",1,1,0,1,1,0
"231","1214_111",1,1,0,1,1,0
"232","1190_1215",1,1,0,1,1,0
"233","1215_1216",1,1,0,1,1,0
"234","1216_1217",1,1,0,1,1,0
"235","1217_1218",1,1,0,1,1,0
"236","1218_112",1,1,0,1,1,0
"237","1218_113",1,1,0,1,1,0
"238","1217_1219",1,1,0,1,1,0
"239","1219_114",1,1,0,1,1,0
"240","1219_115",1,1,0,1,1,0
"241","1216_1220",1,1,0,1,1,0
"242","1220_1221",1,1,0,1,1,0
"243","1221_1222",1,1,0,1,1,0
"244","1222_1223",1,1,0,1,1,0
"245","1223_116",1,1,0,1,1,0
"246","1223_117",1,1,0,1,1,0
"247","1222_1224",1,1,0,1,1,0
"248","1224_118",1,1,0,1,1,0
"249","1224_1225",1,1,0,1,1,0
"250","1225_1226",1,1,0,1,1,0
"251","1226_1227",1,1,0,1,1,0
"252","1227_119",1,1,0,1,1,0
"253","1227_120",1,1,0,1,1,0
"254","1226_1228",1,1,0,1,1,0
"255","1228_121",1,1,0,1,1,0
"256","1228_1229",1,1,0,1,1,0
"257","1229_122",1,1,0,1,1,0
"258","1229_1230",1,1,0,1,1,0
"259","1230_123",1,1,0,1,1,0
"260","1230_1231",1,1,0,1,1,0
"261","1231_124",1,1,0,1,1,0
"262","1231_125",1,1,0,1,1,0
"263","1225_126",1,1,0,1,1,0
"264","1221_127",1,1,0,1,1,0
"265","1220_1232",1,1,0,1,1,0
"266","1232_1233",1,1,0,1,1,0
"267","1233_1234",1,1,0,1,1,0
"268","1234_128",1,1,0,1,1,0
"269","1234_1235",1,1,0,1,1,0
"270","1235_129",1,1,0,1,1,0
"271","1235_1236",1,1,0,1,1,0
"272","1236_130",1,1,0,1,1,0
"273","1236_1237",1,1,0,1,1,0
"274","1237_1238",1,1,0,1,1,0
"275","1238_131",1,1,0,1,1,0
"276","1238_132",1,1,0,1,1,0
"277","1237_1239",1,1,0,1,1,0
"278","1239_133",1,1,0,1,1,0
"279","1239_134",1,1,0,1,1,0
"280","1233_1240",1,1,0,1,1,0
"281","1240_135",1,1,0,1,1,0
"282","1240_136",1,1,0,1,1,0
"283","1232_1241",1,1,0,1,1,0
"284","1241_137",1,1,0,1,1,0
"285","1241_1242",1,1,0,1,1,0
"286","1242_138",1,1,0,1,1,0
"287","1242_139",1,1,0,1,1,0
"288","1215_1243",1,1,0,1,1,0
"289","1243_140",1,1,0,1,1,0
"290","1243_1244",1,1,0,1,1,0
"291","1244_141",1,1,0,1,1,0
"292","1244_142",1,1,0,1,1,0
"293","1189_1245",1,1,0,1,1,0
"294","1245_143",1,1,0,1,1,0
"295","1245_144",1,1,0,1,1,0
"296","1182_1246",1,1,0,1,1,0
"297","1246_145",1,1,0,1,1,0
"298","1246_1247",1,1,0,1,1,0
"299","1247_1248",1,1,0,1,1,0
"300","1248_1249",1,1,0,1,1,0
"301","1249_146",1,1,0,1,1,0
"302","1249_1250",1,1,0,1,1,0
"303","1250_147",1,1,0,1,1,0
"304","1250_1251",1,1,0,1,1,0
"305","1251_1252",1,1,0,1,1,0
"306","1252_1253",1,1,0,1,1,0
"307","1253_148",1,1,0,1,1,0
"308","1253_149",1,0,1,1,1,0
"309","1252_1254",1,1,0,1,1,0
"310","1254_150",1,1,0,1,1,0
"311","1254_1255",1,1,0,1,1,0
"312","1255_151",1,1,0,1,1,0
"313","1255_152",1,1,0,1,1,0
"314","1251_1256",1,1,0,1,1,0
"315","1256_1257",1,1,0,1,1,0
"316","1257_1258",1,1,0,1,1,0
"317","1258_1259",1,1,0,1,1,0
"318","1259_1260",1,1,0,1,1,0
"319","1260_153",1,1,0,1,1,0
"320","1260_1261",1,1,0,1,1,0
"321","1261_154",1,1,0,1,1,0
"322","1261_155",1,1,0,1,1,0
"323","1259_1262",1,1,0,1,1,0
"324","1262_156",1,1,0,1,1,0
"325","1262_157",1,1,0,1,1,0
"326","1258_1263",1,1,0,1,1,0
"327","1263_158",1,1,0,1,1,0
"328","1263_159",1,1,0,1,1,0
"329","1257_160",1,1,0,1,1,0
"330","1256_1264",1,1,0,1,1,0
"331","1264_161",1,1,0,1,1,0
"332","1264_1265",1,1,0,1,1,0
"333","1265_162",1,1,0,1,1,0
"334","1265_163",1,1,0,1,1,0
"335","1248_1266",1,1,0,1,1,0
"336","1266_164",1,1,0,1,1,0
"337","1266_1267",1,1,0,1,1,0
"338","1267_1268",1,1,0,1,1,0
"339","1268_165",1,1,0,1,1,0
"340","1268_1269",1,1,0,1,1,0
"341","1269_1270",1,1,0,1,1,0
"342","1270_166",1,1,0,1,1,0
"343","1270_167",1,1,0,1,1,0
"344","1269_1271",1,1,0,1,1,0
"345","1271_1272",1,1,0,1,1,0
"346","1272_168",1,1,0,1,1,0
"347","1272_169",1,1,0,1,1,0
"348","1271_170",1,1,0,1,1,0
"349","1267_1273",1,1,0,1,1,0
"350","1273_1274",1,1,0,1,1,0
"351","1274_1275",1,1,0,1,1,0
"352","1275_1276",1,1,0,1,1,0
"353","1276_1277",1,1,0,1,1,0
"354","1277_171",1,1,0,1,1,0
"355","1277_172",1,1,0,1,1,0
"356","1276_173",1,1,0,1,1,0
"357","1275_1278",1,1,0,1,1,0
"358","1278_174",1,1,0,1,1,0
"359","1278_1279",1,1,0,1,1,0
"360","1279_175",1,1,0,1,1,0
"361","1279_1280",1,1,0,1,1,0
"362","1280_176",1,1,0,1,1,0
"363","1280_177",1,1,0,1,1,0
"364","1274_1281",1,1,0,1,1,0
"365","1281_178",1,1,0,1,1,0
"366","1281_179",1,1,0,1,1,0
"367","1273_1282",1,1,0,1,1,0
"368","1282_1283",1,1,0,1,1,0
"369","1283_180",1,1,0,1,1,0
"370","1283_1284",1,1,0,1,1,0
"371","1284_1285",1,1,0,1,1,0
"372","1285_1286",1,1,0,1,1,0
"373","1286_181",1,1,0,1,1,0
"374","1286_182",1,1,0,1,1,0
"375","1285_1287",1,1,0,1,1,0
"376","1287_183",1,1,0,1,1,0
"377","1287_1288",1,1,0,1,1,0
"378","1288_1289",1,1,0,1,1,0
